DateTime,Latitude,Longitude,Depth,Magnitude,MagType,NbStations,Gap,Distance,RMS,Source,EventID,Version
2012-01-05T04:42:18.350+00:00,26.828,143.770,10.0,4.8,mb,54,87,,0.94,pde,pde20120105044218350_10,1363392495911
2012-01-05T05:05:27.630+00:00,-10.383,166.193,10.0,4.2,mb,11,172,,0.99,pde,pde20120105050527630_10,1363392495929
2012-01-05T05:27:21.400+00:00,12.841,95.505,10.0,4.2,mb,12,192,,1.16,pde,pde20120105052721400_10,1363392495932
2012-01-05T05:43:25.100+00:00,-10.907,163.523,10.0,4.5,mb,15,158,,1.29,pde,pde20120105054325100_10,1363392495936
2012-01-05T05:50:34.390+00:00,-7.507,127.770,103.4,4.4,mb,23,60,,1.07,pde,pde20120105055034390_103,1363392495965
2012-01-05T06:09:37.770+00:00,73.513,8.126,10.0,4.2,mb,23,127,,1.03,pde,pde20120105060937770_10,1363392496000
2012-01-05T06:24:12.500+00:00,-5.539,131.410,35.0,4.1,mb,12,151,,0.85,pde,pde20120105062412500_35,1363392496005
2012-01-05T07:56:39.200+00:00,34.970,25.430,47.0,4.3,mb,55,110,,,pde,pde20120105075639200_47,1363392496028
2012-01-05T09:15:34.570+00:00,13.551,-90.639,68.1,4.4,mb,102,101,,1.14,pde,pde20120105091534570_68,1363392496151
2012-01-05T09:17:35.000+00:00,-27.921,-71.143,45.8,4.6,mb,30,122,,,pde,pde20120105091735000_45,1363392496170
2012-01-05T09:35:32.100+00:00,18.325,-70.361,39.8,5.5,mww,373,35,,1.01,pde,pde20120105093532100_39,1363392496176
2012-01-05T12:37:03.430+00:00,-18.447,-173.638,35.0,4.8,mb,43,83,,0.96,pde,pde20120105123703430_35,1363392496263
2012-01-05T12:37:35.340+00:00,37.100,140.444,49.1,4.5,mb,39,129,,0.74,pde,pde20120105123735340_49,1363392496271
2012-01-05T13:13:56.460+00:00,37.076,140.502,41.9,4.4,mb,30,121,,0.64,pde,pde20120105131356460_41,1363392496278
2012-01-05T16:26:28.360+00:00,-18.539,-175.142,209.3,4.5,mb,119,39,,0.94,pde,pde20120105162628360_209,1363392496338
2012-01-05T16:35:10.580+00:00,-36.957,178.402,30.6,4.1,ml,54,149,,,pde,pde20120105163510580_30,1363392496353
2012-01-05T16:47:08.100+00:00,38.714,142.197,47.1,5.0,mb,293,36,,0.86,pde,pde20120105164708100_47,1363392496361
